"concession_id";"concession_number";"concession_license_id"
1;'2012A';16
2;'2111B';1
3;'2211A';1
4;'2013A';7
5;'1913B';7
6;'1714A';2
7;'1715';2
8;'1814A';2
9;'1815';2
10;'2914B';3
11;'2913A';3
12;'2212B';8
13;'2313';9
14;'2413A';9
15;'1810';15
16;'2813B';4
17;'2514';14
18;'2712A';5
19;'2812A';5
20;'1911A';13
21;'1912B';13
22;'2011Aa';13
23;'1910Arel';13
24;'2219';11
25;'2319';11
26;'1719';10
27;'1720';10
28;'1819';10
29;'1820';10
30;'1721';10
31;'1821';10
32;'1909';12
33;'2009';12
34;'1708';6
35;'1709';6
36;'1808';6
