"license_id";"license_number";"license_type";"license_granted_date";"license_expiry_date";"license_source_url";"license_google_doc_url";"license_notes"
1;'PEL0034';'exploration';'2011-03-14';'2015-05-14';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
2;'PEL0038';'exploration';'2011-08-03';NULL;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
3;'PEL0039';'exploration';'2011-08-19';'2015-08-19';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
4;'PEL0055';'exploration';'2012-03-28';'2016-03-28';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
5;'PEL0062';'exploration';'2012-12-21';'2016-12-21';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
6;'PEL0075';'exploration';'2015-01-20';NULL;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
7;'PEL0036';'exploration';'2011-05-03';'2015-05-03';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
8;'PEL0044';'exploration';'2011-12-16';'2015-12-16';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
9;'PEL0045';'exploration';'2011-12-16';'2015-12-16';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
10;'PEL0073';'exploration';'2015-01-29';NULL;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
11;'PEL0068';'exploration';'2013-06-28';'2017-06-28';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
12;'PEL0074';'exploration';'2015-01-20';NULL;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
13;'PEL0063';'exploration';'2013-06-18';'2017-06-18';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
14;'PEL0059';'exploration';'2012-06-27';'2016-07-27';'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';''
15;'PEL0052';'exploration';'2012-03-28';NULL;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdeEdJR1Q0SmwtY3c';NULL
16;'PEL0030';'exploration';'2011-03-14';NULL;NULL;NULL;NULL
