
"role_id";"role_person_id";"role_company_id";"role_type";"role_title";"role_percent";"role_start_date";"role_end_date";"role_date_approximate";"role_source_url";"role_google_doc_url"
1;1;17;'management';'director';NULL;'2012-12-13';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdYXdRdFJqMENaTlU'
2;2;12;'management';'director';NULL;'2010-07-11';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddEg1d3RHRWo5Qkk'
3;3;14;'management';'CEO';NULL;NULL;NULL;0;'';''
4;3;14;'control';NULL;NULL;NULL;NULL;0;'';''
5;5;20;'management';'director';NULL;'2014-09-20';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdX0M1QzBvbElQQzg'
6;6;29;'management';'director';NULL;'2012-07-27';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdNVNXMW1CT0QtWWc'
7;7;15;'management';'director';NULL;'2011-08-15';'2011-11-21';0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdN3o1ZjVwSVJRUFU'
8;8;12;'management';'director';NULL;'2008-09-02';'2014-01-21';0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddEg1d3RHRWo5Qkk'
9;9;34;'management';'director';NULL;'2013-08-08';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdVHFVdUVBdjVrOFk'
10;10;6;'management';'director';NULL;NULL;'2008-10-21';0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdbzNjUE01M3ptX28'
11;10;23;'management';'director';NULL;'2014-10-09';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdYTdNclltbndkdkU'
12;12;17;'management';'director';NULL;'2012-12-13';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdYXdRdFJqMENaTlU'
13;13;29;'management';'director';NULL;'2010-06-30';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdNVNXMW1CT0QtWWc'
14;14;17;'management';'director';NULL;'2011-07-13';'2013-12-13';0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdYXdRdFJqMENaTlU'
15;15;12;'management';'director';NULL;'2013-04-11';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddEg1d3RHRWo5Qkk'
